V1_high,V1_low,V1_medium,V2_left,V2_middle,V2_right,V3_impression,V3_news,V3_political,V3_scientific,V3_tourism,V4_no,V4_yes,V5_no,V5_yes,Class
0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,1
0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,2
1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1
0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,2
1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,2
0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,1
0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,2
0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,2
0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,1
0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,1
0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,1
0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,2
